"File","Line","URL"
"ISM-1692.md","85","https://learn.microsoft.com/en-us/windows/deployment/windows-autopatch/monitor/common-vulnerabilities-exposures-report"
"ISM-1690.md","50","https://learn.microsoft.com/en-us/windows/deployment/windows-autopatch/overview/windows-autopatch-faq"
"ISM-1696.md","88","https://learn.microsoft.com/en-us/windows/iot/iot-enterprise/os-features/updates"
"ISM-1861.md","102","https://learn.microsoft.com/en-us/windows/iot/iot-enterprise/whats-new/windows-11-iot-enterprise-ltsc-2024"
"ISM-1670.md","73","https://learn.microsoft.com/en-us/windows/modern-print/windows-protected-print-mode/more-information-on-windows-protected-print-mode-for-enterprises-and-developers"
"ISM-1876.md","102","https://learn.microsoft.com/en-us/windows/release-health/windows11-release-information"
"ISM-1380.md","103","https://learn.microsoft.com/en-us/windows/security/application-security/application-control/administrator-protection/"
"ISM-0843.md","31","https://learn.microsoft.com/en-us/windows/security/application-security/application-control/app-control-for-business/appcontrol-and-applocker-overview"
"ISM-1671.md","87","https://learn.microsoft.com/en-us/windows/security/application-security/application-control/app-control-for-business/applocker/applocker-overview"
"ISM-1674.md","111","https://learn.microsoft.com/en-us/windows/security/application-security/application-control/app-control-for-business/applocker/create-your-applocker-rules"
"ISM-0843.md","86","https://learn.microsoft.com/en-us/windows/security/application-security/application-control/app-control-for-business/design/appcontrol-wizard"
"ISM-1544.md","56","https://learn.microsoft.com/en-us/windows/security/application-security/application-control/app-control-for-business/design/microsoft-recommended-driver-block-rules"
"ISM-1544.md","60","https://learn.microsoft.com/en-us/windows/security/application-security/application-control/windows-defender-application-control/wdac"
"ISM-1659.md","32","https://learn.microsoft.com/en-us/windows/security/book/application-security-application-and-driver-control"
"ISM-1692.md","86","https://learn.microsoft.com/en-us/windows/security/book/cloud-services-protect-your-work-information"
"ISM-1896.md","29","https://learn.microsoft.com/en-us/windows/security/book/hardware-security-silicon-assisted-security"
"ISM-1686.md","57","https://learn.microsoft.com/en-us/windows/security/identity-protection/credential-guard/"
"ISM-1686.md","49","https://learn.microsoft.com/en-us/windows/security/identity-protection/credential-guard/configure"
"ISM-1897.md","102","https://learn.microsoft.com/en-us/windows/security/identity-protection/credential-guard/considerations-known-issues"
"ISM-1686.md","50","https://learn.microsoft.com/en-us/windows/security/identity-protection/remote-credential-guard"
"ISM-1815.md","56","https://learn.microsoft.com/en-us/windows/security/operating-system-security/device-management/use-windows-event-forwarding-to-assist-in-intrusion-detection"
"ISM-1861.md","99","https://learn.microsoft.com/en-us/windows/security/operating-system-security/system-security/protect-high-value-assets-by-controlling-the-health-of-windows-10-based-devices"
"ISM-0843.md","85","https://learn.microsoft.com/en-us/windows/security/threat-protection/windows-defender-application-control/windows-defender-application-control-deployment-guide"
"ISM-1811.md","122","https://portal.azure.com/#view/Microsoft_Azure_DataProtection/BackupCenterMenuBlade/%7E/overview"
"ISM-1860.md","35","https://www.cve.org/CVERecord?id=CVE-2016-3198"
"ISM-1860.md","36","https://www.cve.org/CVERecord?id=CVE-2016-3203"
"ISM-1702.md","71","https://www.first.org/epss/"
"ISM-1685.md","71","https://www.microsoft.com/download/details.aspx?id=46899"
"ISM-1380.md","113","https://www.microsoft.com/en-us/security/privileged-access-workstations/privileged-access-deployment"
"ISM-1380.md","101","https://www.microsoft.com/en-us/security/privileged-access-workstations/privileged-access-strategy"
"ISM-1655.md","32","https://www.microsoft.com/en-us/windows/business/roadmap"
"ISM-1860.md","72","https://www.wiz.io/vulnerability-database/cve/cve-2025-32451"
